央视频道,#genre#
CCTV-9 纪录,http://202.100.46.58:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0$202.100.46.58:9901
CCTV-10 科教,http://222.134.245.16:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$222.134.245.16:9901
CCTV-10 科教,http://110.189.102.15:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$110.189.102.15:9901
CCTV-10 科教,http://112.123.206.32:808/hls/11/index.m3u8$112.123.206.32:808
CCTV-10 科教,http://223.151.49.74:59901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$223.151.49.74:59901
CCTV-10 科教,http://223.241.247.214:85/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$223.241.247.214:85
CCTV-10 科教,http://123.189.36.186:9901/tsfile/live/1161_1.m3u8?key=txiptv&playlive=1&authid=0$123.189.36.186:9901
CCTV-10 科教,http://58.48.37.158:1111/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$58.48.37.158:1111
CCTV-10 科教,http://42.48.17.204:808/hls/11/index.m3u8$42.48.17.204:808
CCTV-10 科教,http://58.220.219.14:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$58.220.219.14:9901
CCTV-10 科教,http://61.138.54.155:2233/hls/11/index.m3u8$61.138.54.155:2233
CCTV-11 戏曲,http://222.134.245.16:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$222.134.245.16:9901
CCTV-11 戏曲,http://110.189.102.15:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$110.189.102.15:9901
CCTV-11 戏曲,http://42.48.17.204:808/hls/12/index.m3u8$42.48.17.204:808
CCTV-11 戏曲,http://223.151.49.74:59901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$223.151.49.74:59901
CCTV-11 戏曲,http://112.123.206.32:808/hls/12/index.m3u8$112.123.206.32:808
CCTV-11 戏曲,http://61.138.54.155:2233/hls/12/index.m3u8$61.138.54.155:2233
CCTV-11 戏曲,http://123.189.36.186:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0$123.189.36.186:9901
CCTV-11 戏曲,http://119.163.199.98:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$119.163.199.98:9901
CCTV-12 社会与法,http://112.123.206.32:808/hls/13/index.m3u8$112.123.206.32:808
CCTV-12 社会与法,http://222.134.245.16:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$222.134.245.16:9901
CCTV-12 社会与法,http://58.51.111.46:1111/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0$58.51.111.46:1111
CCTV-12 社会与法,http://58.245.97.28:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0$58.245.97.28:9901
CCTV-12 社会与法,http://110.189.102.15:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$110.189.102.15:9901
CCTV-12 社会与法,http://223.151.49.74:59901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$223.151.49.74:59901
CCTV-12 社会与法,http://58.220.219.14:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$58.220.219.14:9901
CCTV-12 社会与法,http://223.241.247.214:85/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$223.241.247.214:85
CCTV-12 社会与法,http://123.189.36.186:9901/tsfile/live/1162_1.m3u8?key=txiptv&playlive=1&authid=0$123.189.36.186:9901
CCTV-12 社会与法,http://202.100.46.58:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0$202.100.46.58:9901
CCTV-13 新闻,http://222.134.245.16:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$222.134.245.16:9901
CCTV-13 新闻,http://58.245.97.28:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=0&authid=0$58.245.97.28:9901
CCTV-13 新闻,http://58.51.111.46:1111/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0$58.51.111.46:1111
CCTV-13 新闻,http://110.189.102.15:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$110.189.102.15:9901
CCTV-13 新闻,http://58.48.37.158:1111/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$58.48.37.158:1111
CCTV-13 新闻,http://223.151.49.74:59901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$223.151.49.74:59901
CCTV-13 新闻,http://119.163.199.98:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$119.163.199.98:9901
CCTV-13 新闻,http://202.100.46.58:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0$202.100.46.58:9901
CCTV-13 新闻,http://58.220.219.14:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$58.220.219.14:9901
CCTV-13 新闻,http://123.189.36.186:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0$123.189.36.186:9901
CCTV-14 少儿,http://222.134.245.16:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$222.134.245.16:9901
CCTV-14 少儿,http://112.123.206.32:808/hls/15/index.m3u8$112.123.206.32:808
CCTV-14 少儿,http://58.51.111.46:1111/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0$58.51.111.46:1111
CCTV-14 少儿,http://110.189.102.15:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$110.189.102.15:9901
CCTV-14 少儿,http://223.151.49.74:59901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$223.151.49.74:59901
CCTV-14 少儿,http://58.220.219.14:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$58.220.219.14:9901
CCTV-14 少儿,http://202.100.46.58:9901/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0$202.100.46.58:9901
CCTV-14 少儿,http://61.138.54.155:2233/hls/15/index.m3u8$61.138.54.155:2233
CCTV-14 少儿,http://58.48.37.158:1111/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$58.48.37.158:1111
CCTV-14 少儿,http://123.189.36.186:9901/tsfile/live/1163_1.m3u8?key=txiptv&playlive=1&authid=0$123.189.36.186:9901
CCTV-15 音乐,http://222.134.245.16:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0$222.134.245.16:9901
CCTV-15 音乐,http://110.189.102.15:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0$110.189.102.15:9901
CCTV-15 音乐,http://58.51.111.46:1111/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0$58.51.111.46:1111
CCTV-15 音乐,http://223.151.49.74:59901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0$223.151.49.74:59901
CCTV-15 音乐,http://58.245.97.28:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=0&authid=0$58.245.97.28:9901
CCTV-15 音乐,http://202.100.46.58:9901/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0$202.100.46.58:9901
CCTV-15 音乐,http://58.48.37.158:1111/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0$58.48.37.158:1111
CCTV-15 音乐,http://123.189.36.186:9901/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0$123.189.36.186:9901
CCTV-15 音乐,http://119.163.199.98:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0$119.163.199.98:9901
CCTV-16 奥林匹克,http://123.189.36.186:9901/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0$123.189.36.186:9901
CCTV-17 农业农村,http://112.123.206.32:808/hls/17/index.m3u8$112.123.206.32:808
CCTV-17 农业农村,http://223.151.49.74:59901/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0$223.151.49.74:59901
CCTV-17 农业农村,http://42.48.17.204:808/hls/17/index.m3u8$42.48.17.204:808
CCTV-17 农业农村,http://58.245.97.28:9901/tsfile/live/0019_1.m3u8?key=txiptv&playlive=0&authid=0$58.245.97.28:9901
CCTV-17 农业农村,http://123.189.36.186:9901/tsfile/live/1164_1.m3u8?key=txiptv&playlive=1&authid=0$123.189.36.186:9901
